% freq [Hz]	Model (first stage) [dBc/Hz]	Model (second Stage) [dBc/Hz]
38.01893963	-82.07741427	-99.64245089
38.9045145	-82.45657725	-99.96422645
39.81071706	-82.83488201	-100.2844768
40.73802778	-83.21232993	-100.6032158
41.68693835	-83.58892239	-100.9204575
42.65795188	-83.96466074	-101.2362166
43.65158322	-84.33954637	-101.5505079
44.66835922	-84.71358063	-101.8633468
45.70881896	-85.0867649	-102.1747489
46.77351413	-85.45910053	-102.4847301
47.86300923	-85.8305889	-102.7933067
48.97788194	-86.20123136	-103.100495
50.11872336	-86.57102928	-103.4063118
51.2861384	-86.93998402	-103.7107741
52.48074602	-87.30809695	-104.013899
53.70317964	-87.67536942	-104.3157037
54.95408739	-88.04180281	-104.6162059
56.23413252	-88.40739848	-104.9154231
57.54399373	-88.7721578	-105.213373
58.88436554	-89.13608213	-105.5100735
60.25595861	-89.49917285	-105.8055424
61.65950019	-89.86143132	-106.0997978
63.09573445	-90.22285892	-106.3928577
64.5654229	-90.58345703	-106.68474
66.0693448	-90.94322702	-106.9754628
67.60829754	-91.30217029	-107.2650441
69.18309709	-91.66028821	-107.553502
70.79457844	-92.01758218	-107.8408543
72.44359601	-92.37405359	-108.1271189
74.13102413	-92.72970384	-108.4123137
75.8577575	-93.08453433	-108.6964564
77.62471166	-93.43854646	-108.9795645
79.43282347	-93.79174166	-109.2616557
81.28305162	-94.14412134	-109.5427471
83.17637711	-94.49568692	-109.8228562
85.11380382	-94.84643984	-110.102
87.096359	-95.19638153	-110.3801954
89.12509381	-95.54551343	-110.6574592
91.20108394	-95.893837	-110.933808
93.32543008	-96.24135369	-111.2092582
95.4992586	-96.58806498	-111.483826
97.7237221	-96.93397232	-111.7575274
100	-97.27907721	-112.0303782
102.3292992	-97.62338113	-112.3023941
104.7128548	-97.96688558	-112.5735904
107.1519305	-98.30959208	-112.8439822
109.6478196	-98.65150214	-113.1135846
112.2018454	-98.99261729	-113.3824122
114.8153621	-99.33293906	-113.6504796
117.4897555	-99.672469	-113.9178009
120.2264435	-100.0112087	-114.1843903
123.0268771	-100.3491597	-114.4502614
125.8925412	-100.6863235	-114.7154278
128.8249552	-101.0227019	-114.9799029
131.8256739	-101.3582963	-115.2436997
134.8962883	-101.6931084	-115.506831
138.0384265	-102.0271398	-115.7693094
141.2537545	-102.3603922	-116.0311472
144.5439771	-102.6928672	-116.2923566
147.9108388	-103.0245665	-116.5529494
151.3561248	-103.3554918	-116.8129372
154.8816619	-103.6856447	-117.0723315
158.4893192	-104.015027	-117.3311434
162.1810097	-104.3436404	-117.5893838
165.9586907	-104.6714866	-117.8470634
169.8243652	-104.9985674	-118.1041927
173.7800829	-105.3248845	-118.360782
177.827941	-105.6504398	-118.6168412
181.9700859	-105.9752349	-118.8723802
186.2087137	-106.2992718	-119.1274086
190.5460718	-106.6225522	-119.3819356
194.98446	-106.945078	-119.6359705
199.5262315	-107.2668511	-119.8895222
204.1737945	-107.5878732	-120.1425994
208.9296131	-107.9081463	-120.3952106
213.796209	-108.2276724	-120.6473643
218.7761624	-108.5464532	-120.8990685
223.8721139	-108.8644909	-121.1503311
229.0867653	-109.1817872	-121.40116
234.4228815	-109.4983441	-121.6515626
239.8832919	-109.8141638	-121.9015464
245.4708916	-110.1292481	-122.1511184
251.1886432	-110.443599	-122.4002859
257.0395783	-110.7572186	-122.6490555
263.0267992	-111.070109	-122.8974339
269.1534804	-111.3822722	-123.1454277
275.4228703	-111.6937103	-123.3930431
281.8382931	-112.0044253	-123.6402864
288.4031503	-112.3144195	-123.8871635
295.1209227	-112.6236949	-124.1336803
301.995172	-112.9322536	-124.3798425
309.0295433	-113.2400979	-124.6256556
316.227766	-113.5472299	-124.871125
323.5936569	-113.8536518	-125.1162559
331.1311215	-114.1593657	-125.3610536
338.8441561	-114.464374	-125.6055228
